nome,continente,paese,latitudine,longitudine
Roma,Europe,Italia,419028,124964
New York,North America,USA,407128,-740060
Tokyo,Asia,Giapponia,356895,1396917
Cairo,Africa,Egitto,300444,312357
Sydney,Oceania,Australia,-338688,1512093
Milan,Europe,Italia,454642,91900
London,Europe,UK,515074,-1278
Cape Town,Africa,South Africa,-339249,184241
Buenos Aires,South America,Argentina,-346037,-583816
Base Esperanza,Argentina,Antarctica,-633.999,-569986
,,,,
,,,,
